dataset,mode,metric,mean,std
mvtec,k1,Image AUROC,0.9643,0.0454
simplenet,k1,Image AUROC,0.9041,0.0890
mvtec,k1,Image AP,0.9826,0.0253
simplenet,k1,Image AP,0.9508,0.0653
mvtec,k1,Image F1,0.9568,0.0505
simplenet,k1,Image F1,0.9255,0.0702
mvtec,k1,Pixel AUROC,0.9713,0.0226
simplenet,k1,Pixel AUROC,0.9419,0.0625
mvtec,k1,Pixel AP,0.6312,0.1919
simplenet,k1,Pixel AP,0.4852,0.1937
mvtec,k1,Pixel F1,0.6175,0.1429
simplenet,k1,Pixel F1,0.5184,0.1601
mvtec,k1,Pixel PRO,0.8938,0.0652
simplenet,k1,Pixel PRO,0.8424,0.1037
mvtec,k2,Image AUROC,0.9760,0.0336
simplenet,k2,Image AUROC,0.9363,0.0669
mvtec,k2,Image AP,0.9881,0.0192
simplenet,k2,Image AP,0.9691,0.0412
mvtec,k2,Image F1,0.9664,0.0439
simplenet,k2,Image F1,0.9409,0.0620
mvtec,k2,Pixel AUROC,0.9778,0.0175
simplenet,k2,Pixel AUROC,0.9612,0.0331
mvtec,k2,Pixel AP,0.6604,0.1915
simplenet,k2,Pixel AP,0.5231,0.1912
mvtec,k2,Pixel F1,0.6386,0.1471
simplenet,k2,Pixel F1,0.5523,0.1508
mvtec,k2,Pixel PRO,0.9141,0.0561
simplenet,k2,Pixel PRO,0.8835,0.0585
mvtec,k4,Image AUROC,0.9837,0.0251
simplenet,k4,Image AUROC,0.9609,0.0452
mvtec,k4,Image AP,0.9921,0.0138
simplenet,k4,Image AP,0.9819,0.0238
mvtec,k4,Image F1,0.9748,0.0344
simplenet,k4,Image F1,0.9589,0.0386
mvtec,k4,Pixel AUROC,0.9809,0.0157
simplenet,k4,Pixel AUROC,0.9667,0.0266
mvtec,k4,Pixel AP,0.6735,0.1814
simplenet,k4,Pixel AP,0.5453,0.1912
mvtec,k4,Pixel F1,0.6491,0.1420
simplenet,k4,Pixel F1,0.5695,0.1521
mvtec,k4,Pixel PRO,0.9224,0.0453
simplenet,k4,Pixel PRO,0.8955,0.0512
